"","ids","condition","age_weeks","sex"
"DKO_2060","2060","DKO",4.6,"F"
"DKOVEH_320-4","320-4","DKOVEH",4.9,"M"
"DKOVEH_321-1","321-1","DKOVEH",4.9,"F"
"DKOBI_328-1","328-1","DKOBI",4.9,"F"
"DKOBI_328-12","328-12","DKOBI",4.9,"F"
"DKOVEH_332-5","332-5","DKOVEH",4.3,"F"
"DKOBI_333-5","333-5","DKOBI",4.3,"F"
"DKOVEH_344-12","344-12","DKOVEH",5.1,"M"
"DKO_383-3","383-3","DKO",4.3,"M"
"TKO_X172-1","X172-1","TKO",24.7,"F"
"TKO_X187-3","X187-3","TKO",26.7,"F"
"TKO_X218-2","X218-2","TKO",25.4,"F"
"TKO_X218-3","X218-3","TKO",25.4,"F"
"TKO_X220-1","X220-1","TKO",7.1,"M"
"TKO_X222-1","X222-1","TKO",4.7,"M"
"TKO_X222-4","X222-4","TKO",4.7,"M"
